area;bedrooms;bathrooms;stories;mainroad;guestroom;basement;hotwaterheating;airconditioning;parking;prefarea;furnishingstatus;price
7420;4;2;3;1;0;0;0;1;2;1;2;1,33E+07
8960;4;4;4;1;0;0;0;1;3;0;2;1,23E+07
9960;3;2;2;1;0;1;0;0;2;1;1;1,23E+07
7500;4;2;2;1;0;1;0;1;3;1;2;1,22E+07
7420;4;1;2;1;1;1;0;1;2;0;2;1,14E+07
7500;3;3;1;1;0;1;0;1;2;1;1;1,09E+07
8580;4;3;4;1;0;0;0;1;2;1;1;1,02E+07
16200;5;3;2;1;0;0;0;0;0;0;0;1,02E+07
8100;4;1;2;1;1;1;0;1;2;1;2;9,87E+06
5750;3;2;4;1;1;0;0;1;1;1;0;9,80E+06
13200;3;1;2;1;0;1;0;1;2;1;2;9,80E+06
6000;4;3;2;1;1;1;1;0;2;0;1;9,68E+06
6550;4;2;2;1;0;0;0;1;1;1;1;9,31E+06
3500;4;2;2;1;0;0;1;0;2;0;2;9,24E+06
7800;3;2;2;1;0;0;0;0;0;1;1;9,24E+06
6000;4;1;2;1;0;1;0;0;2;0;1;9,10E+06
6600;4;2;2;1;1;1;0;1;1;1;0;9,10E+06
8500;3;2;4;1;0;0;0;1;2;0;2;8,96E+06
4600;3;2;2;1;1;0;0;1;2;0;2;8,89E+06
6420;3;2;2;1;0;0;0;1;1;1;1;8,86E+06
4320;3;1;2;1;0;1;1;0;2;0;1;8,75E+06
7155;3;2;1;1;1;1;0;1;2;0;0;8,68E+06
8050;3;1;1;1;1;1;0;1;1;0;2;8,65E+06
4560;3;2;2;1;1;1;0;1;1;0;2;8,65E+06
8800;3;2;2;1;0;0;0;1;2;0;2;8,58E+06
6540;4;2;2;1;1;1;0;1;2;1;2;8,54E+06
6000;3;2;4;1;1;1;0;1;0;1;1;8,46E+06
8875;3;1;1;1;0;0;0;0;1;0;1;8,40E+06
7950;5;2;2;1;0;1;1;0;2;0;0;8,40E+06
5500;4;2;2;1;0;1;0;1;1;1;1;8,40E+06
7475;3;2;4;1;0;0;0;1;2;0;0;8,40E+06
7000;3;1;4;1;0;0;0;1;2;0;1;8,40E+06
4880;4;2;2;1;0;0;0;1;1;1;2;8,30E+06
5960;3;3;2;1;1;1;0;0;1;0;0;8,19E+06
6840;5;1;2;1;1;1;0;1;1;0;2;8,12E+06
7000;3;2;4;1;0;0;0;1;2;0;2;8,08E+06
7482;3;2;3;1;0;0;1;0;1;1;2;8,04E+06
9000;4;2;4;1;0;0;0;1;2;0;2;7,98E+06
6000;3;1;4;1;1;0;0;1;2;0;0;7,96E+06
6000;4;2;4;1;0;0;0;1;1;0;1;7,91E+06
6550;3;1;2;1;0;1;0;1;0;1;2;7,88E+06
6360;3;2;4;1;0;0;0;1;0;1;2;7,84E+06
6480;3;2;4;1;0;0;0;1;2;0;0;7,70E+06
6000;4;2;4;1;0;0;0;0;2;0;1;7,70E+06
6000;4;2;4;1;0;0;0;1;1;0;2;7,56E+06
6000;3;2;3;1;0;0;0;1;0;0;1;7,56E+06
6000;3;2;4;1;0;0;0;1;1;0;2;7,53E+06
6600;3;1;4;1;0;0;0;1;3;1;2;7,49E+06
4300;3;2;2;1;0;1;0;0;1;0;0;7,46E+06
7440;3;2;1;1;1;1;0;1;0;1;1;7,42E+06
7440;3;2;4;1;0;0;0;0;1;1;0;7,42E+06
6325;3;1;4;1;0;0;0;1;1;0;0;7,42E+06
6000;4;2;4;1;1;0;0;1;1;0;2;7,35E+06
